store,title,price,rating,image,description,link
Amazon,"Smart Watch(Answer/Make Call), 1.85"" Smartwatch for Men Women IP68 Waterproof, 100+ Sport Modes Fitness Activity Tracker, Heart Rate Sleep Monitor, Pedometer, Smart Watches for Android iOS, 2023",$29.99,,https://m.media-amazon.com/images/I/71qoQVetqhL.__AC_SX300_SY300_QL70_ML2_.jpg,"Bluetooth Call and Message Reminder: The smart watch is equipped with HD speaker, after connecting to your phone via Bluetooth, you can directly use the smartwatches to answer or make calls, read messages, store contacts, view call history. The smartwatch can set up more message notifications in GloryFit APP. You will never miss any calls and messages during meetings, workout and riding.
1.85"" Touch Screen and DIY Watch Faces: Smart watch with 1.85"" HD full touch color screen brings you a unique visual and better interactive experience. Four levels of brightness options allow you to easily read information in the sun or dark. Fitness smart watch has 200+ free watch faces that can be downloaded and used in the app. In addition, you can also select your favorite photo as a wallpaper in the watch.
All-day Health Monitoring: This smartwatch has advanced sensors that helps you detect real-time heart rate throughout the day. And it will monitor your sleep status automatically and provides comprehensive sleep quality analysis. Synchronized to the app, you can also get more health details through the ""GloryFit"". Wear your P66D Smart Watch correctly, not too tight nor too loose, leaving the skin room to breathe. This way not only do you feel comfortable, but the sensors also work properly.
100+ Sports Modes and IP68 Waterproof: Sports smart watch can provide 100+ exercise modes, such as running, yoga, jumping jack, sit-ups, etc. During your exercise, it will record your data like heart rate, steps, calories burned, distance and active hours in real time. The fitness tracker is IP68 waterproof so you can wear it during outdoor activities, rainy day, washing hand.
Long Battery Life and Multi-Functions: Smart watch for men women has a built-in large capacity battery, which can be fully charged in 2 hours, can be used for up to 7 days and has a long standby time of about 30 days. Smart watches and ""GloryFit"" app have many practical tools, such as weather forecasts, stopwatch, timer, music control/ play, adjustable brightness, find phone/ watch, breathing training, smart alarm clock, camera control, women health, sedentary reminder, ect.",https://www.amazon.com/Smartwatch-Waterproof-Fitness-Activity-Pedometer/dp/B0C89CK95W/ref=sr_1_3?dib=eyJ2IjoiMSJ9.LcpaTMV58JaXiITBbVjuu33T_Evec5xHYZSRcn689tdTKTRj7bvUa-iDm7c-5JXAyXwOtiQuVaNWK9WAPp_m1H0cSS9u6uDw19av61x7w1aP4cI5ZsnTgFHbN5ayd5x-P2nbcTBSHrKL-71zs1WB6MXs_sp92SbRnFYeO2WnwfNLFImA2Py2Sf4Ds5qG0cXTZj1r9KHUxbcvrVtzRlY_8rrUjNuTSa1466HivkPDWd0.FIH4TgdZmP71cPSGslrbnOeGr_yHE0BLYhHgcKHVZM0&dib_tag=se&keywords=smart-watches&qid=1713190104&sr=8-3
Amazon,"Garmin 010-02427-01 Venu Sq, GPS Smartwatch with Bright Touchscreen Display, Up to 6 Days of Battery Life, Light Gold and White",$129.99,4.4,https://m.media-amazon.com/images/I/71dxG5vHYcL.__AC_SX300_SY300_QL70_ML2_.jpg,"Fits wrists with a circumference of 125-190 mm.Supported Application:GPS. Connectivity technology:GPS. Wireless comm standard:Bluetooth
Get an uninterrupted picture of your health with up to 6 days of battery life in smartwatch mode
Up to 14 hours of battery life in GPS mode
Find new ways to keep moving with more than 20 preloaded sports apps, including walking, running, cycling, mindful breathing, swimming, golf and many more
Use preloaded workouts that include cardio, yoga, strength and even Pilates, create your own in the Garmin Connect app (requires app on a compatible smartphone)
Never miss a call, text or social media alert with smart notifications delivered right to your wrist (when paired with a compatible smartphone)
Leave your cash and cards at home; Garmin Pay contactless payments (with a supported payment network) let you pay for purchases on the go",https://www.amazon.com/Garmin-Smartwatch-Touchscreen-Display-010-02427-01/dp/B08FRPT1KK/ref=sr_1_20?dib=eyJ2IjoiMSJ9.LcpaTMV58JaXiITBbVjuu33T_Evec5xHYZSRcn689tdTKTRj7bvUa-iDm7c-5JXAyXwOtiQuVaNWK9WAPp_m1H0cSS9u6uDw19av61x7w1aP4cI5ZsnTgFHbN5ayd5x-P2nbcTBSHrKL-71zs1WB6MXs_sp92SbRnFYeO2WnwfNLFImA2Py2Sf4Ds5qG0cXTZj1r9KHUxbcvrVtzRlY_8rrUjNuTSa1466HivkPDWd0.FIH4TgdZmP71cPSGslrbnOeGr_yHE0BLYhHgcKHVZM0&dib_tag=se&keywords=smart-watches&qid=1713190104&sr=8-20
Amazon,"Smart Watch for Women Alexa Built-in, 1.95"" Fitness Tracker with Answer/Make Calls, IP68 Waterproof/Heart Rate/Sleep Tracker/100 Sport Modes, Fitness Watch Compatible Android iOS",$29.95,Deal is no longer available.,https://m.media-amazon.com/images/I/6105amhSy4L.__AC_SX300_SY300_QL70_ML2_.jpg,"[Alexa Built-in] Enjoy the convenience of Alexa on your wrist! With TOOBUR's smart watch, you can control your smart home devices, set reminders,get weather updates and more all from your wrist. Simply download the ""VeryFit"" app from the App Store, connect to your watch via Bluetooth, and enjoy the convenience of Alexa on your smartwatch.
[Stay connected on-the-go] Simplify your daily routine by managing your calls and messages in one place. With Bluetooth compatibility, the TOOBUR smartwatch allows you to make and receive phone calls, you can also receive social media, E-mail and SMS notification right on your wrist, you will never miss an important message or notification. keeping you connected while you're on-the-go.Please note that this product cannot reply to messages!
[Activity & FitnessTracker] Track your health and fitness goals with the TOOBUR fitness & activity tracker. The fitness watch can monitor your heart rate, and stress levels in real-time, and alert you if anything is abnormal. With over 100 different sports modes, the activity tracker allows you to easily track your steps, calories burned, distance, speed and with an IP68 waterproof, the watch is perfect for swimming and any activity. Get yours now and start tracking your progress!
[A Good Sleep is All You Need] Get a better night's sleep with TOOBUR's sleep tracker.The smartwatch monitors your sleep in three different modes - REM, light, and deep sleep. The data is sent to the ""VeryFit"" app, which provides you with insights and tips to improve your sleep quality. Use this feature to improve your overall sleep habits and wake up feeling refreshed.Please note that more than 3 hours of sleep is required to be recorded by the test. Long-term wear is recommended!
[Long Battery Life] Experience uninterrupted smart living with TOOBUR smartwatch's long battery life. With up to 30 days of standby time, 20 days in power saving mode, and 7-10 days of daily usage, you can wear your smartwatch without worrying about frequent charging. And it only takes 2.5 hours to fully charge, allowing you to spend more time enjoying the benefits of a watch and less time worrying about battery life.Please note that the exact duration of use will vary with the frequency of use.
[1.95'' HD Screen & Customizable Watch Face] Experience crystal-clear visuals like never before with our smartwatch's 1.95-inch high definition screen. Choose from 100 beautiful cloud-based watch faces or even upload your own photos, such as selfies or pictures of your pets, to create a truly personalized look. With endless possibilities, you'll never run out of options to make your watch truly your own.",https://www.amazon.com/TOOBUR-Fitness-Tracker-Waterproof-Compatible/dp/B0C4GN5QZ1/ref=sr_1_6?dib=eyJ2IjoiMSJ9.LcpaTMV58JaXiITBbVjuu33T_Evec5xHYZSRcn689tdTKTRj7bvUa-iDm7c-5JXAyXwOtiQuVaNWK9WAPp_m1H0cSS9u6uDw19av61x7w1aP4cI5ZsnTgFHbN5ayd5x-P2nbcTBSHrKL-71zs1WB6MXs_sp92SbRnFYeO2WnwfNLFImA2Py2Sf4Ds5qG0cXTZj1r9KHUxbcvrVtzRlY_8rrUjNuTSa1466HivkPDWd0.FIH4TgdZmP71cPSGslrbnOeGr_yHE0BLYhHgcKHVZM0&dib_tag=se&keywords=smart-watches&qid=1713190104&sr=8-6
Amazon,"TOZO S5 Smart Watch (Answer/Make Calls), 1.43’’ AMOLED Smart Watches for Men Women 100+ Sport Modes Fitness Watch with Blood Oxygen/Sleep/Heart Rate Monitor, IP68 Waterproof Smartwatch Black",,4.8,https://m.media-amazon.com/images/I/71xm+PqBsYL._AC_SY300_SX300_.jpg,,https://www.amazon.com/TOZO-S5-Watches-Waterproof-Smartwatch/dp/B07KY8MQGT/ref=sr_1_4?dib=eyJ2IjoiMSJ9.LcpaTMV58JaXiITBbVjuu33T_Evec5xHYZSRcn689tdTKTRj7bvUa-iDm7c-5JXAyXwOtiQuVaNWK9WAPp_m1H0cSS9u6uDw19av61x7w1aP4cI5ZsnTgFHbN5ayd5x-P2nbcTBSHrKL-71zs1WB6MXs_sp92SbRnFYeO2WnwfNLFImA2Py2Sf4Ds5qG0cXTZj1r9KHUxbcvrVtzRlY_8rrUjNuTSa1466HivkPDWd0.FIH4TgdZmP71cPSGslrbnOeGr_yHE0BLYhHgcKHVZM0&dib_tag=se&keywords=smart-watches&qid=1713190104&sr=8-4
Amazon,"AMAZTIM Smart Watch, 60 Days Extra-Long Battery, 50M Waterproof, Rugged Military Bluetooth Call(Answer/Dial Calls),1.85"" Ultra Large HD Display, AI Voice Assistant,Compatible for Android and iOS(Red)",$84.99,,https://m.media-amazon.com/images/I/71Q7JMrurtL.__AC_SX300_SY300_QL70_ML2_.jpg,"⌚𝐌𝐢𝐥𝐢𝐭𝐚𝐫𝐲-𝐒𝐭𝐚𝐧𝐝𝐚𝐫𝐝 𝐪𝐮𝐚𝐥𝐢𝐭𝐲 - AMAZTIM M2 features 1.85-inch Corning Gorilla screen. which is thick enough to handle a range of screen-breaking behaviors. The TC4 titanium unibody and the exclusive developed two-color silicone rubber is the world's first two-color integration in a smart watch; military-grade materials and fully enclosed design makes it the toughest watch. Successfully passed 12 Military Tests Including salt spray, rain, impact, etc. It can easily face any harsh environment.
⌚𝟓𝟎𝐌 𝐖𝐚𝐭𝐞𝐫𝐩𝐫𝐨𝐨𝐟 /𝐄𝐱𝐭𝐫𝐞𝐦𝐞𝐥𝐲 𝐫𝐞𝐬𝐢𝐬𝐭𝐚𝐧𝐭 𝐭𝐨 𝐝𝐚𝐦𝐚𝐠𝐞 - Incredibly strong and corrosion-resistant titanium case has been used to enclose and giving cover, the rugged military grade smart watch with fully enclosed ultra-thin case design can be easily submerged into 50M (IP69K waterproof) deep water. Our durable smartwatch has withstood the extreme conditions and passed drilling, crushing and hot steam washout tests, making our sports watch suitable to use under high temperature and pressure.
⌚𝐈𝐧𝐝𝐮𝐬𝐭𝐫𝐲-𝐥𝐞𝐚𝐝𝐢𝐧𝐠 𝐝𝐮𝐚𝐥 𝐬𝐦𝐚𝐫𝐭 𝐜𝐡𝐢𝐩 -AI Voice Assistant & Answer/Make Calls: A very handy tool built in the watch. Use your voice to give instructions and the voice assistant will do the rest. You can ask questions, play your desired music, and check weather, set alarms and timers. You can also make voice calls through the voice assistant, makes the scenes that are inconvenient to hold a mobile phone（For example: driving） in daily exercise and life more concise and smart.
⌚𝟔𝟎+ 𝐃𝐚𝐲𝐬 𝐬𝐮𝐩𝐞𝐫 𝐛𝐚𝐭𝐭𝐞𝐫𝐲 𝐥𝐢𝐟𝐞 - AMAZTIM M2 is equipped with 100% pure cobalt-based battery (military grade) ensuring optimal performance and longevity, twice as much as that of conventional smartwatches. At the same time, a super power-saving AI algorithm breaking the industry is adopted to minimize power consumption, enough to last up to 2 weeks under normal use, and can continue to use sports mode, health index measurement, and other functions for up to 60+ days in power-saving mode.
⌚𝐇𝐞𝐚𝐥𝐭𝐡 𝐌𝐨𝐧𝐢𝐭𝐨𝐫𝐢𝐧𝐠 /𝟕𝟎 𝐄𝐱𝐞𝐫𝐜𝐢𝐬𝐞 𝐌𝐨𝐝𝐞𝐬 - AMAZTIM M2 collects health data with its advanced real-time monitoring function. helps you monitor All-day sleep,24-hour heart rate, and real-time blood oxygen. The fitness band includes a pedometer to keep track of the calories burned throughout the day. Supports up to 70 sports modes and 6 Intelligent Sports Recognition, AMAZTIM M2 smart watch collects data with pinpoint precision and accuracy, ensuring that every workout is counted.",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4ODcwMDMzNTczOTM0MTA1OjE3MTMxOTAxMDQ6c3BfbXRmOjIwMDEzMTkzNDAwMzM5ODo6MDo6&url=%2FAMAZTIM-Extra-Long-Waterproof-Bluetooth-Assistant%2Fdp%2FB0BS3TZHBV%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.LcpaTMV58JaXiITBbVjuu33T_Evec5xHYZSRcn689tdTKTRj7bvUa-iDm7c-5JXAyXwOtiQuVaNWK9WAPp_m1H0cSS9u6uDw19av61x7w1aP4cI5ZsnTgFHbN5ayd5x-P2nbcTBSHrKL-71zs1WB6MXs_sp92SbRnFYeO2WnwfNLFImA2Py2Sf4Ds5qG0cXTZj1r9KHUxbcvrVtzRlY_8rrUjNuTSa1466HivkPDWd0.FIH4TgdZmP71cPSGslrbnOeGr_yHE0BLYhHgcKHVZM0%26dib_tag%3Dse%26keywords%3Dsmart-watches%26qid%3D1713190104%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Amazon,"AGPTEK Smart Watch for Women, Smartwatch for Android and iOS Phones IP68 Waterproof Activity Tracker with Full Touch Color Screen Heart Rate Monitor Pedometer Sleep Monitor, Pink",$43.99,,https://m.media-amazon.com/images/I/616suF7t8aL.__AC_SX300_SY300_QL70_ML2_.jpg,"【Your Watch, Your Style】1.3""/33mm display screen covered with a rose gold metal frame (NOTE: the size of the whole watch face is 1.81""/46 mm), so elegant and nice, but sturdy and anti-scratch. The smart watch contains 5 readily available dials or another 50+ dials within the app. You can also customize your watch faces. It can be any photo, such as your family, pet, etc. NOTE: THE WATCH DO NOT SUPPORT MAKE CALLS and MESSAGES.
【Your Personal Smart Assistant】Activity tracker (pedometer, calories, distance), heart rate, various sport modes, sleep monitoring., etc. Get notifications of Call, SMS, and APP messages(Please keep the Bluetooth distance within 10m), remote control of music and cameras, weather report, sedentary reminder, alarm clock, stopwatch, call rejection, brightness adjustment, power-saving mode, and other functions to meet your daily needs. If you meet any questions, don't hesitate to contact us!
【Long Battery & IP68 Waterproof】The smartwatch only takes 2 hours to charge and can be used for 7-10 days or 30 days standby time, much longer than most traditional watches. The fitness watch is IP68 waterproof, you can wear it when washing hands, in the rain(Note: Do Not use in showers, saunas, etc).
【Safe Guard Your Health】Advanced HR sensor for accurate and effective heart rate monitoring, helping you better understand your health and making a reasonable adjustment to your lifestyle. Automatic sleep tracking can monitor your sleep status (deep sleep, shallow sleep, awakening) and provide a comprehensive sleep quality analysis to help become healthier. You can view the summary of your status in the fitcloudpro APP.
【Overtake Your Expectations】The AGPTEK smart watch is compatible with most iOS 9.0 & Android 5.0 or higher smart phones version to notify you of call, text, email, calendar, and app notifications. The package includes:AGPTEK Smart Watch*1, Watch Strap*1, Magnetic Charger*1,User Manual*1. If your have any problem, please feel free to contact our customer service via your amazon account.",https://www.amazon.com/AGPTEK-Waterproof-Smartwatch-Activity-Pedometer/dp/B08HMRY8NG/ref=sr_1_16?dib=eyJ2IjoiMSJ9.LcpaTMV58JaXiITBbVjuu33T_Evec5xHYZSRcn689tdTKTRj7bvUa-iDm7c-5JXAyXwOtiQuVaNWK9WAPp_m1H0cSS9u6uDw19av61x7w1aP4cI5ZsnTgFHbN5ayd5x-P2nbcTBSHrKL-71zs1WB6MXs_sp92SbRnFYeO2WnwfNLFImA2Py2Sf4Ds5qG0cXTZj1r9KHUxbcvrVtzRlY_8rrUjNuTSa1466HivkPDWd0.FIH4TgdZmP71cPSGslrbnOeGr_yHE0BLYhHgcKHVZM0&dib_tag=se&keywords=smart-watches&qid=1713190104&sr=8-16
Amazon,"Smart Watch for Men Women, 1.85"" Smartwatch (Answer/Make Call), IP68 Waterproof Fitness Tracker, 100+ Sport Modes, Heart Rate Monitor, Sleep Monitor, Pedometer, Smartwatches for Android iOS, Black",$29.99,Deal is no longer available.,https://m.media-amazon.com/images/I/71eM8xOaq6L.__AC_SX300_SY300_QL70_ML2_.jpg,"Make/Answer Calls & Read Message: The T50S smart watch is equipped with built-in HD speaker, after connecting to your smartphone via Bluetooth, you can directly use the smartwatch to answer or make calls. And it supports multiple smart reminders, including text, SNS messages (Facebook, WhatsApp, Instagram, Twitter, etc), daily reminder, etc. All notifications are displayed on your smartwatches and reminded by vibration, so that you will never miss any important information.
1.85'' HD Touch Screen & 200+ DIY Watch Faces: This womens smart watch is equipped with a 1.85"" HD full touch color screen, delivering highly responsive touch, which can bring you a unique visual and better interactive experience. With the companion GloryFit app, you can download more than 200 free personalised watch faces and set it as your desktop. In addition, you can also select your favorite photo like family, selfie, pets photo, landscape photo, your car as a wallpaper in your smart watch.
24-Hour Health Monitoring: The fitness tracker is equipped with high-performance optical sensors that will record your all day activities. Fitness watch accurately monitors your heart rate in real time and it will monitor your sleep status automatically. You can view a week's worth of health reports in app. Wear your T50S smart watch correctly, not too tight nor too loose, leaving the skin room to breathe. This way not only do you feel comfortable, but the sensors also work properly.
100+ Sports Modes & IP68 Waterproof: The activity tracker supports 100+ sports modes, including Running, Walking, Hiking, Basketball, Boating, Climbing, Cycling, Fitness, Football and so on. During your exercise, it will record your data like heart rate, steps, calories burned, distance in real time. Sport watch is IP68 waterproof rating, ensuring worry-free use even while washing hands, face, or engaging in sweaty activities. However, it is not recommended for use in hot water or seawater.
Long Battery Life & Multifunctional: The smartwatches with a built-in large-capacity battery, which allows it to last about 5-7 days for daily use, and has a long standby time of about 30 days. Actual usage time is related to the user's usage. The mens smart watch is compatible with iOS 9.0 and Android 7.0 and above devices, it has multiple functions such as timer, stopwatch, alarm clock, sedentary reminder, music control, weather forecast, brightness adjustment, photo control, calculator, etc.",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MDc4ODU2MzM4ODU3MTA1OjE3MTMxOTAxMDQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEwOTQwMjUwNjcwMjo6MTo6&url=%2FSmartwatch-Waterproof-Fitness-Pedometer-Smartwatches%2Fdp%2FB0CL96GHCW%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4dc3d3f0-ccc1-4471-85ca-232a9eff77d1%253Aamzn1.sym.4dc3d3f0-ccc1-4471-85ca-232a9eff77d1%26cv_ct_cx%3Dsmart-watches%26dib%3DeyJ2IjoiMSJ9.h8nquBhpvSheHn7bW4u2DTEmaHfjFKLxaPQLBFNa0nGRTLa1383d7SufT5j8rfeA5R-MKwtupKrO_eZhgZjJAA.w4Q6cK1DKiqYkEkzNvYljVl12ECvqCc4nhFRZ5wMguE%26dib_tag%3Dse%26keywords%3Dsmart-watches%26pd_rd_i%3DB0CL96GHCW%26pd_rd_r%3D508a355f-e9f0-410c-b997-a720e8c725c9%26pd_rd_w%3DsRKcy%26pd_rd_wg%3DcoIS0%26pf_rd_p%3D4dc3d3f0-ccc1-4471-85ca-232a9eff77d1%26pf_rd_r%3DE925GP3P9NQBPN75N1CJ%26qid%3D1713190104%26sbo%3DTc8eqSFhUl4VwMzbE4fw%252Fw%253D%253D%26sr%3D1-2-22b99f6c-9d79-4634-962b-718698cdc411-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Amazon,"Smart Watch for Men Women, 1.85"" Smartwatch (Answer/Make Call), IP68 Waterproof Fitness Tracker, 100+ Sport Modes, Heart Rate Monitor, Sleep Monitor, Pedometer, Smartwatches for Android iOS, Black",$29.99,Deal is no longer available.,https://m.media-amazon.com/images/I/71eM8xOaq6L.__AC_SX300_SY300_QL70_ML2_.jpg,"Make/Answer Calls & Read Message: The T50S smart watch is equipped with built-in HD speaker, after connecting to your smartphone via Bluetooth, you can directly use the smartwatch to answer or make calls. And it supports multiple smart reminders, including text, SNS messages (Facebook, WhatsApp, Instagram, Twitter, etc), daily reminder, etc. All notifications are displayed on your smartwatches and reminded by vibration, so that you will never miss any important information.
1.85'' HD Touch Screen & 200+ DIY Watch Faces: This womens smart watch is equipped with a 1.85"" HD full touch color screen, delivering highly responsive touch, which can bring you a unique visual and better interactive experience. With the companion GloryFit app, you can download more than 200 free personalised watch faces and set it as your desktop. In addition, you can also select your favorite photo like family, selfie, pets photo, landscape photo, your car as a wallpaper in your smart watch.
24-Hour Health Monitoring: The fitness tracker is equipped with high-performance optical sensors that will record your all day activities. Fitness watch accurately monitors your heart rate in real time and it will monitor your sleep status automatically. You can view a week's worth of health reports in app. Wear your T50S smart watch correctly, not too tight nor too loose, leaving the skin room to breathe. This way not only do you feel comfortable, but the sensors also work properly.
100+ Sports Modes & IP68 Waterproof: The activity tracker supports 100+ sports modes, including Running, Walking, Hiking, Basketball, Boating, Climbing, Cycling, Fitness, Football and so on. During your exercise, it will record your data like heart rate, steps, calories burned, distance in real time. Sport watch is IP68 waterproof rating, ensuring worry-free use even while washing hands, face, or engaging in sweaty activities. However, it is not recommended for use in hot water or seawater.
Long Battery Life & Multifunctional: The smartwatches with a built-in large-capacity battery, which allows it to last about 5-7 days for daily use, and has a long standby time of about 30 days. Actual usage time is related to the user's usage. The mens smart watch is compatible with iOS 9.0 and Android 7.0 and above devices, it has multiple functions such as timer, stopwatch, alarm clock, sedentary reminder, music control, weather forecast, brightness adjustment, photo control, calculator, etc.",https://www.amazon.com/Smartwatch-Waterproof-Fitness-Pedometer-Smartwatches/dp/B0CL96GHCW/ref=sr_1_8?dib=eyJ2IjoiMSJ9.LcpaTMV58JaXiITBbVjuu33T_Evec5xHYZSRcn689tdTKTRj7bvUa-iDm7c-5JXAyXwOtiQuVaNWK9WAPp_m1H0cSS9u6uDw19av61x7w1aP4cI5ZsnTgFHbN5ayd5x-P2nbcTBSHrKL-71zs1WB6MXs_sp92SbRnFYeO2WnwfNLFImA2Py2Sf4Ds5qG0cXTZj1r9KHUxbcvrVtzRlY_8rrUjNuTSa1466HivkPDWd0.FIH4TgdZmP71cPSGslrbnOeGr_yHE0BLYhHgcKHVZM0&dib_tag=se&keywords=smart-watches&qid=1713190104&sr=8-8
Amazon,"Fossil Gen 6 44mm Touchscreen Smart Watch for Men with Alexa Built-In, Fitness Tracker, Activity Tracker, Sleep Tracker, GPS, Speaker, Music Control, Smartphone Notifications",,$167.99,https://m.media-amazon.com/images/I/712swHvvx1L.__AC_SX300_SY300_QL70_ML2_.jpg,,https://www.amazon.com/Fossil-Stainless-Steel-Leather-Touchscreen/dp/B09B2XG2RT/ref=sr_1_15?dib=eyJ2IjoiMSJ9.LcpaTMV58JaXiITBbVjuu33T_Evec5xHYZSRcn689tdTKTRj7bvUa-iDm7c-5JXAyXwOtiQuVaNWK9WAPp_m1H0cSS9u6uDw19av61x7w1aP4cI5ZsnTgFHbN5ayd5x-P2nbcTBSHrKL-71zs1WB6MXs_sp92SbRnFYeO2WnwfNLFImA2Py2Sf4Ds5qG0cXTZj1r9KHUxbcvrVtzRlY_8rrUjNuTSa1466HivkPDWd0.FIH4TgdZmP71cPSGslrbnOeGr_yHE0BLYhHgcKHVZM0&dib_tag=se&keywords=smart-watches&qid=1713190104&sr=8-15
Amazon,Smart Watch Full Touch Smart Watches for Android iOS Phones Compatible (Answer/Make Call) Smart Fitness Tracker Watch for Women Man Waterproof Smartwatch with Sleep/Heart Rate/sports/Step (Black),$25.99,$25.99,https://m.media-amazon.com/images/I/61rhZ1bjQDL.__AC_SX300_SY300_QL70_ML2_.jpg,"Smart Activity Tracking Watch：Smart watch 8 built-in sport modes for the activity of your choice.It tracks things like heart rate, calories burned, and assesses professional data like maximal oxygen uptake, full recovery time, training load, and training effectiveness .
Smart Watch with Text and Call：New design smartwatch in 2024 can be connected to Bluetooth to receive/make calls and Messages, SMS, Facebook, Whatsapp etc(Can't write text messages). notification in real time, you will never miss important information when your phone is not around.
1.7''HD Full Touch Screen:The smart watch uses a 1.7-inch large touch screen color screen with a resolution of 240*280, which can provide better color saturation.Designed with IP67 waterproof rating, it is not afraid of sweat and rain when exercising, and can be worn when swimming or running.
24/7 Health Monitor and Multi-function Watch: This fitness tracking watch has heart rate and blood pressure monitorfunction. It will track your health throughout the day, such as sleep data, heart rate, SpO2. and it also has sedentary and drinking water reminder alarm clock etc. You can live a healthier and more active life with this smart watch for women men.
130+ Watch Face and 7-Day Battery Life: The smartwatch has150+ different styles of UI to choose from, You can also set your favorite photos in your phone as the dial.This smartwatch features a 230mAh battery that lasts up to 7 days under normal usage, keeping you safe on the go and tracking your progress.",https://www.amazon.com/Watches-Android-Compatible-Waterproof-Smartwatch/dp/B0B4J8KZJZ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.LcpaTMV58JaXiITBbVjuu33T_Evec5xHYZSRcn689tdTKTRj7bvUa-iDm7c-5JXAyXwOtiQuVaNWK9WAPp_m1H0cSS9u6uDw19av61x7w1aP4cI5ZsnTgFHbN5ayd5x-P2nbcTBSHrKL-71zs1WB6MXs_sp92SbRnFYeO2WnwfNLFImA2Py2Sf4Ds5qG0cXTZj1r9KHUxbcvrVtzRlY_8rrUjNuTSa1466HivkPDWd0.FIH4TgdZmP71cPSGslrbnOeGr_yHE0BLYhHgcKHVZM0&dib_tag=se&keywords=smart-watches&qid=1713190104&sr=8-9
